Motif,Target,Constr,Result,Time (Sec.),N_Rival,Rivals
((.(*)(...)..)),((.(...)(...)..)),(??(...)????????),undesignable,8.6397,1,['((.(*).......))']
((....(....))),((....(....))),(????????????),undesignable,0.1994,1,['((..........))']
(((......)(*))),(((......)(...))),(?????????(...)?),undesignable,3.7774,1,['((........(*)))']
((*)(.((*).))),((...)(.((...).))),((...)???(...)???),undesignable,0.0134,1,['((*)...(*)...)']
(.(..(*))((*)).),(.(..(...))((...)).),(????(...)??(...)??),undesignable,0.2809,1,['(....(*).((*)).)']
(((.....).(*))),(((.....).(...))),(?????????(...)?),undesignable,0.3339,1,['((........(*)))']
((*).((.(*))..)),((...).((.(...))..)),((...)????(...)????),undesignable,0.009,1,['((*)....(*)....)']
(.((*)(..(*)))),(.((...)(..(...)))),(??(...)???(...)??),undesignable,0.0444,1,['(..(*)...(*)..)']
((.(..(*))..).),((.(..(...))..).),(?????(...)?????),undesignable,0.4623,1,['(.....(*).....)']
((.((*).))(*).),((.((...).))(...).),(???(...)???(...)?),undesignable,0.0116,1,['(...(*)...(*).)']
((...)(.(*))),((...)(.(...))),(???????(...)?),undesignable,0.1123,1,['(.......(*).)']
(((*)(...).).),(((...)(...).).),(?(...)????????),undesignable,0.4722,1,['(.(*)........)']
(((*)(*).)((*)).),(((...)(...).)((...)).),(?(...)(...)???(...)??),undesignable,0.0488,1,['(.(*)(*)...(*)..)']
((((*)..)(*))(*)),((((...)..)(...))(...)),(??(...)???(...)?(...)),undesignable,0.072,1,['(..(*)...(*).(*))']
(.((...).).(*)),(.((...).).(...)),(??????????(...)),undesignable,0.4672,1,['(..........(*))']
((....)((*).).),((....)((...).).),(???????(...)???),undesignable,1.8264,1,['(.......(*)...)']
(((*)..(*))..(*)),(((...)..(...))..(...)),(?(...)??(...)???(...)),undesignable,0.0025,1,['(.(*)..(*)...(*))']
((.((*)(*)))(*).),((.((...)(...)))(...).),(???(...)(...)??(...)?),undesignable,0.0185,1,['(...(*)(*)..(*).)']
((...(*))(*).(*)),((...(...))(...).(...)),(????(...)?(...)?(...)),undesignable,0.0025,1,['(....(*).(*).(*))']
((..(....).).),((..(....).).),(????????????),undesignable,14.6613,19,"['(............)', '(((.(....))).)', '(((((....)))))', '(((.(....).)))', '((..(....)..))', '(.(((....))).)', '(.(((....).)))', '(.(.(....).).)', '(..((....))..)', '(...(....)...)', '(((((...)))).)', '((((....)).).)', '((((.....))).)', '(((.(...).)).)', '(((.......)).)', '((.((...)).).)', '((.(.....).).)', '((..(...)..).)', '((.........).)']"
(..(*).((*).(*))),(..(...).((...).(...))),(??(...)??(...)?(...)?),undesignable,0.0039,1,['(..(*)..(*).(*).)']
((*)((*).....).),((...)((...).....).),((...)?(...)???????),undesignable,0.0016,1,['((*).(*).......)']
(.((*))(..(*))),(.((...))(..(...))),(??(...)????(...)?),undesignable,0.4103,1,['(.((*))...(*).)']
(..(.(.(*))(*))),(..(.(.(...))(...))),(??????(...)?(...)?),undesignable,0.1765,1,['(......(*).(*).)']
((*)(*)(...).),((...)(...)(...).),((...)(...)??????),undesignable,0.004,1,['((*)(*)......)']
(..(.(*)((*)).)),(..(.(...)((...)).)),(????(...)?(...)???),undesignable,0.7669,1,['(....(*)((*))..)']
(..(*)(.....).),(..(...)(.....).),(??(...)????????),undesignable,0.7354,3,"['(..(*)........)', '((((*))......))', '(.((*)).......)']"
(.((*).(*).)(*)),(.((...).(...).)(...)),(??(...)?(...)??(...)),undesignable,0.0022,1,['(..(*).(*)..(*))']
(....(((*))(*))),(....(((...))(...))),(??????(...)?(...)?),undesignable,0.0516,1,['(.....((*))(*).)']
(((....(*)).).),(((....(...)).).),(??????(...)????),undesignable,0.0077,1,['(......(*)....)']
((((*)..)(*))),((((...)..)(...))),(??(...)???(...)?),undesignable,0.0998,1,['((.(*)...(*)))']
(((...)...)..),(((...)...)..),(????????????),undesignable,0.0174,1,['(............)']
(((*))(*)(..(*))),(((...))(...)(..(...))),(?(...)?(...)???(...)?),undesignable,0.8176,1,['(((*))(*)...(*).)']
((..((*))).),((..((...))).),(????(...)???),undesignable,0.0546,1,['(...((*))..)']
((.(*)((*)))(*)),((.(...)((...)))(...)),(??(...)?(...)??(...)),undesignable,0.0691,1,['(..(*).(*)..(*))']
(.(*)(((*).).).),(.(...)(((...).).).),(?(...)??(...)?????),undesignable,0.008,1,['(.(*)..(*).....)']
((....)(*)(*)),((....)(...)(...)),(??????(...)(...)),undesignable,0.0212,1,['(......(*)(*))']
((..(*).(*))(*).),((..(...).(...))(...).),(???(...)?(...)?(...)?),undesignable,0.0024,1,['(...(*).(*).(*).)']
(((...).)..(*)),(((...).)..(...)),(??????????(...)),undesignable,0.4568,1,['(..........(*))']
((*)((*)..((*)))),((...)((...)..((...)))),((...)?(...)???(...)??),undesignable,0.0705,1,['((*).(*)...(*)..)']
(((..(*))..(*))),(((..(...))..(...))),(????(...)???(...)?),undesignable,0.4024,1,['((...(*)...(*)))']
